site,label_threshold_pp,validation,family,model,policy,fold,n,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C295,-20,LOOCV,CP_summary,LR_0.01,fixed_0.5,p6_r7_wfd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,fixed_0.5,p6_r7_wfq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,fixed_0.5,p7_r5_syvirr,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,fixed_0.5,p8_r6_gve,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p4_r5_she,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p4_r5_she_plus_p7_r5_she,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p4_r5_sne,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p4_r5_sne_plus_p7_r5_sne,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p4_r5_swd_plus_p7_r5_swd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p4_r5_the_plus_p7_r5_the,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_aye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_nye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_sfe,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_swd,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_syq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_thn,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_tye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p5_r6_vfn,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p6_r7_qrw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p6_r7_trq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p6_r7_wfd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p6_r7_wfq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p7_r5_syvirr,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,p8_r6_gve,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p4_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p4_r5_she_plus_p7_r5_she,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p4_r5_sne,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p4_r5_sne_plus_p7_r5_sne,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p4_r5_swd_plus_p7_r5_swd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p4_r5_the_plus_p7_r5_the,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_aye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_nye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_sfe,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_swd,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_syq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_thn,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_tye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p5_r6_vfn,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p6_r7_qrw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p6_r7_trq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p6_r7_wfd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p6_r7_wfq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p7_r5_syvirr,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,p8_r6_gve,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p4_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p4_r5_she_plus_p7_r5_she,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p4_r5_sne,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p4_r5_sne_plus_p7_r5_sne,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p4_r5_swd_plus_p7_r5_swd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p4_r5_the_plus_p7_r5_the,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_aye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_nye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_sfe,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_swd,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_syq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_thn,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_tye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p5_r6_vfn,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p6_r7_qrw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p6_r7_trq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p6_r7_wfd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p6_r7_wfq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p7_r5_syvirr,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,p8_r6_gve,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p4_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p4_r5_she_plus_p7_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p4_r5_sne,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p4_r5_sne_plus_p7_r5_sne,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p4_r5_swd_plus_p7_r5_swd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p4_r5_the_plus_p7_r5_the,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_aye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_nye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_sfe,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_swd,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_syq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_thn,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_tye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p5_r6_vfn,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p6_r7_qrw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p6_r7_trq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p6_r7_wfd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p6_r7_wfq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p7_r5_syvirr,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,p8_r6_gve,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p4_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p4_r5_she_plus_p7_r5_she,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p4_r5_sne,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p4_r5_sne_plus_p7_r5_sne,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p4_r5_swd_plus_p7_r5_swd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p4_r5_the_plus_p7_r5_the,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_aye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_nye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_sfe,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_swd,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_syq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_thn,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_tye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p5_r6_vfn,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p6_r7_qrw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p6_r7_trq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p6_r7_wfd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p6_r7_wfq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p7_r5_syvirr,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,p8_r6_gve,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p4_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p4_r5_she_plus_p7_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p4_r5_sne,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p4_r5_sne_plus_p7_r5_sne,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p4_r5_swd_plus_p7_r5_swd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p4_r5_the_plus_p7_r5_the,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_aye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_nye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_sfe,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_swd,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_syq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_thn,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_tye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p5_r6_vfn,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p6_r7_qrw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p6_r7_trq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p6_r7_wfd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p6_r7_wfq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p7_r5_syvirr,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,p8_r6_gve,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p4_r5_she,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p4_r5_she_plus_p7_r5_she,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p4_r5_sne,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p4_r5_sne_plus_p7_r5_sne,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p4_r5_swd_plus_p7_r5_swd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p4_r5_the_plus_p7_r5_the,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_aye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_nye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_sfe,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_swd,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_syq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_thn,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_tye,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p5_r6_vfn,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p6_r7_qrw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p6_r7_trq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p6_r7_wfd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p6_r7_wfq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p7_r5_syvirr,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,p8_r6_gve,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p4_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p4_r5_she_plus_p7_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p4_r5_sne,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p4_r5_sne_plus_p7_r5_sne,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p4_r5_swd_plus_p7_r5_swd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p4_r5_the_plus_p7_r5_the,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_aye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_nye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_sfe,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_swd,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_syq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_thn,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_tye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p5_r6_vfn,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p6_r7_qrw,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p6_r7_trq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p6_r7_wfd,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p6_r7_wfq,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p7_r5_syvirr,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,p8_r6_gve,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p4_r5_she,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p4_r5_she_plus_p7_r5_she,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p4_r5_sne,1,,0.0,0.0,0.0,,0,0,0,1,,1.0
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p4_r5_sne_plus_p7_r5_sne,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p4_r5_swd_plus_p7_r5_swd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p4_r5_the_plus_p7_r5_the,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_aye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_nye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_sfe,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_swd,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_syq,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_thn,1,,1.0,1.0,1.0,,1,0,0,0,,1.0
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_twd,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_tye,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p5_r6_vfn,1,,1.0,0.0,,1.0,0,1,0,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p6_r7_qfw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p6_r7_qrw,1,,0.0,0.0,,0.0,0,0,1,0,,
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,p6_r7_trq,1,,1.0,0.0,,1.0,0,1,0,0,,
